ID,plane,src,dest,flightnr,callsign,start,endTime
412,412,BXO,SZG,,HBFOW,1662969198,1662969198
413,413,QEW,,GDK7,GDK7,1662969208,1662969817
414,414,ZAG,CDG,OU470,CTN25F,1662969210,1662973614
415,415,NUE,ASW,IFA1346,IFA1346,1662969209,1662973614
416,416,LHR,ATH,BA638,BAW63GV,1662969209,1662973613
417,417,PRN,ZRH,,GSW1PR,1662969210,1662969210
418,418,AYT,MUC,TI1313,TWI1313,1662969209,1662970343
419,419,FMM,INI,W64268,WZZ104G,1662969208,1662972984
420,420,MUC,TIA,LH1712,DLH1712,1662969208,1662973396
421,421,CRL,BUD,W62282,WZZ1B,1662969209,1662972499
422,422,BGY,IAS,W63672,WZZ1025,1662969206,1662973612
423,423,PRG,HOQ,,OKCZE,1662969210,1662969210
424,424,RTM,,,SEMJT,1662969209,1662969209
425,425,PRG,,,OKGER,1662969208,1662969208
426,426,ZAG,ZRH,OU460,CTN460,1662969210,1662972560
427,427,TRS,TPS,AP422,LAV422,1662969210,1662973613
428,428,FMO,CFU,FR6970,RYR376G,1662969209,1662973614
429,429,,,,TCUZT,1662969210,1662969210
430,430,LGW,JTR,U28765,EZY59GA,1662969210,1662973614
431,431,LHR,SKG,BA2642,BAW22TK,1662969210,1662973613
432,432,ATH,MUC,A3802,AEE8UM,1662969209,1662971108
433,433,EDI,PRG,U26961,EZY6961,1662969210,1662970357
434,434,MUC,RHO,X34292,TUI6W,1662969210,1662973614
435,435,DRS,AYT,XC1272,CAI12CN,1662969209,1662973612
436,436,DRS,PMI,FR8377,RYR53TA,1662969187,1662973612
437,437,FRA,TSR,LH1470,DLH8FR,1662969210,1662972585
438,438,ZAG,FRA,OU416,CTN416,1662969208,1662973613
439,439,,,,OKOGC,1662969207,1662969207
440,440,FMM,PED,,ECA3GA,1662969208,1662969208
441,441,MUC,SOF,LH1702,DLH2EP,1662969210,1662973612
442,442,PED,,,HUSKR33,1662969208,1662969208
443,443,POW,,,OEFJJ,1662969207,1662969207
444,444,TIV,ZRH,WK415,EDW415,1662969209,1662972692
445,445,NCL,CHQ,FR410,RYR692Z,1662969209,1662973614
446,446,BUD,STR,EW2781,EWG60N,1662969210,1662972000
447,447,SAW,CGN,TK7770,THY9CT,1662969208,1662972780
448,448,,,,DEEPH,1662969140,1662969140
449,449,,,,OKCOF,1662969209,1662969209
450,450,,,,OKRUO77,1662969209,1662969209
451,451,WAW,BCN,LO437,LOT437,1662969210,1662973611
452,452,BRS,JTR,U26601,EZY45CL,1662969210,1662973614
453,453,PRG,LNZ,,OKMAG,1662969210,1662969210
454,454,PRG,WAW,LO524,LOT5RW,1662969197,1662973611
455,455,PRG,AMS,U27906,EJU71YG,1662969210,1662973609
456,456,CPH,PRG,EW4211,EWG6LP,1662969208,1662969256
457,457,PRG,BER,SUA721,SUA721,1662969209,1662972350
458,458,,,,GLEX,1662969209,1662969209
459,459,SAW,ZRH,PC947,PGT947,1662969208,1662972397
460,460,NCL,CFU,BY1118,TOM68V,1662969209,1662973494
461,461,MBX,,,S5DLM,1662969204,1662969204
462,462,,,,OKZUV84,1662969209,1662969209
463,463,LJU,BEG,JU191,ASL49T,1662969186,1662973613
464,464,,,,ITE372,1662969210,1662969210
465,465,,,,,1662969208,1662969208
466,466,,,,C510,1662969206,1662969206
467,467,STR,HRG,SM2951,MSC2951,1662969208,1662973614
468,468,,,,OKFAG,1662969207,1662969207
469,469,,,,C56X,1662969209,1662969209
470,470,,,,OKKAL,1662969208,1662969208
471,471,,,,OKMDH,1662969207,1662969207
472,472,,,,OKFAJ,1662969204,1662969204
473,473,VIE,CGN,FR9480,RYR9WQ,1662969209,1662972939
474,474,MXP,VIE,FR9216,RYR61GK,1662969209,1662970665
475,475,IST,LHR,TK1979,THY6FB,1662969210,1662973611
476,476,,,,OKPAV,1662969202,1662969202
477,477,BMA,PRG,,TIE983B,1662969208,1662969208
478,478,,,,OKPES,1662969209,1662969209
479,479,,,,OEABF,1662969210,1662969210
480,480,,,,OKAUI04,1662969127,1662969127
481,481,KLU,,,OEKFJ,1662969209,1662969209
482,482,VIE,BER,OS225,AUA225S,1662969210,1662973613
483,483,VIE,INN,OS903,AUA903,1662969209,1662971093
484,484,,,,OKSOL,1662969208,1662969208
485,485,WAW,FAO,LO6251,LOT6251,1662969208,1662973612
486,486,,,,OKAIS,1662969207,1662969207
487,487,,,,PC12,1662969210,1662969210
488,488,LGG,HGH,3V815,TAY815,1662969210,1662975096
489,489,,,,OKKUN,1662969208,1662969208
490,490,VIE,BRU,SN2902,BEL02W,1662969210,1662973614
491,491,GRZ,DUS,EW9725,EWG1P,1662969209,1662973612
492,492,GRZ,,,,1662969191,1662969191
493,493,GRZ,,,OEDKK,1662969207,1662969207
494,494,BOS,TLV,LY16,ELY016,1662969207,1662973614
495,495,LJU,,,S5DHN,1662969204,1662969204
496,496,FRA,HER,4Y1204,OCN3D,1662969210,1662973614
497,497,GRZ,,,OEDCC,1662969201,1662969201
498,498,GRZ,MUC,LH2341,DLH2341,1662969207,1662971790
499,499,VIE,ZRH,OS555,AUA555D,1662969208,1662973062
500,500,OTP,BGY,FR3993,RYR2TA,1662969208,1662971878
501,501,BER,ZAD,FR2920,RYR1FZ,1662969210,1662971803
502,502,BTS,,,OMOYR,1662969206,1662969206
503,503,SCV,BGY,FR5350,RYR3DC,1662969209,1662972873
504,504,IST,SXB,TK1455,THY8UZ,1662969208,1662973462
505,505,VIE,BWE,,MGR1,1662969208,1662969208
506,506,,,,OKAUA49,1662969207,1662969207
507,507,MBX,,,S5PGD,1662969209,1662969209
508,508,NUE,AOK,,ADN11C,1662969210,1662969210
509,509,PED,,,BLADE51,1662969210,1662969210
510,510,NBO,AMS,MP8562,MPH8562,1662969209,1662973611
511,511,FRA,VIE,LH1234,DLH03T,1662969210,1662970409
512,512,VIE,LGW,W65704,WZZ37ZV,1662969208,1662973612
513,513,,,,,1662969208,1662969208
514,514,MBX,,,S5DNK,1662969208,1662969208
515,515,,,,OKHBT,1662969206,1662969206
516,516,AYT,FRA,XQ144,SXS3HV,1662969208,1662973112
517,517,JFK,IST,TK2,THY2,1662969209,1662973611
518,518,BOM,ZRH,LX155,SWR155,1662969209,1662973099
519,519,LHR,IST,TK1988,THY18ZF,1662969209,1662973613
520,520,VIE,DUS,EW9755,EWG3WE,1662969210,1662973540
521,521,HRG,PRG,QS2593,TVS2593,1662969208,1662970670
522,522,ZAG,IST,TK1054,THY3LW,1662969209,1662973613
523,523,AYT,DUS,FH193,FHY193,1662969210,1662973311
524,524,,,,EC35,1662969151,1662969151
525,525,ZAG,WAW,LO612,LOT6VL,1662969208,1662973612
526,526,AYT,LGW,TK1159,THY73R,1662969209,1662973613
527,527,QEW,,,OEKAR,1662969204,1662969204
528,528,CFU,PRG,QS1115,TVS4PR,1662969209,1662972593
529,529,,,,OEDTA,1662969203,1662969203
530,530,ZAG,BER,,9AJET,1662969209,1662969209
531,531,,,,OECWR,1662969209,1662969209
532,532,QEW,,,OEVDM,1662969209,1662969209
533,533,LTN,ATH,FR7805,RYR529Y,1662969208,1662973612
534,534,OHD,VIE,W62826,WZZ103C,1662969207,1662969862
535,535,AYT,MAN,PC1815,PGT1815,1662969208,1662973614
536,536,STN,WRO,FR8405,RYR8405,1662969210,1662969862
537,537,,,,C25A,1662969209,1662969209
538,538,VIE,LUX,LG8852,LGL8852,1662969210,1662973613
539,539,VIE,OTP,OS783,AUA7TP,1662969209,1662975097
540,540,VIE,FRA,OS129,,1662969160,1662973614
541,541,VIE,,OS385,AUA385,1662969184,1662973613
542,542,TLV,VIE,OS860,AUA8HM,1662969209,1662969846
543,543,VIE,ATH,OS801,AUA8RA,1662969206,1662973612
544,544,VIE,EBL,OS829,AUA829,1662969206,1662975097
545,545,VIE,,,AUA12F,1662969188,1662969188
546,546,VIE,SKP,OS775,AUA7EP,1662969209,1662973612
547,547,VIE,TIA,OS845,AUA845,1662969199,1662973612
548,548,VIE,,,AUA8WG,1662969210,1662969210
549,549,DUS,MLX,XQ1387,SXS51Z,1662969208,1662973613
550,550,VIE,AMS,KL1840,KLM58D,1662969206,1662973612
551,551,VIE,PRG,OS705,AUA7K,1662969209,1662971869
552,552,INN,KRK,,TYW211F,1662969208,1662969208
553,553,VIE,SOF,OS795,AUA795A,1662969210,1662973217
554,554,SKG,VIE,FR181,RYR313Z,1662969208,1662969393
555,555,BWK,VIE,,ELG52A,1662969210,1662969210
556,556,,,,R44,1662969210,1662969210
557,557,BER,VIE,OS224,AUA22M,1662969210,1662969772
558,558,VAR,HAJ,,BUC7CE,1662969209,1662969209
559,559,,,,PISI,1662969209,1662969209
560,560,DUS,GZT,XQ749,SXS3X,1662969209,1662973613
561,561,BRQ,,,OKBYP,1662969207,1662969207
562,562,BRS,BJV,LS1813,EXS8R,1662969209,1662973613
563,563,VIE,RIX,BT272,BTI7KL,1662969210,1662975097
564,564,,,,SPMSSD,1662969209,1662969209
565,565,KTW,CDG,BO951,BBD951,1662969208,1662973613
566,566,MUC,OTP,LH1650,DLH5AF,1662969208,1662973275
