ID,iatatag,name,country,lat,lon
4056,SBP,San Luis County Regional Airport,US,-120.641998291,35.236801147499996
4057,SBS,Steamboat Springs Bob Adams Field,US,-106.8659973,40.5163002
4058,SBX,Shelby Airport,US,-111.871002197,48.5406990051
4059,SBY,Salisbury Ocean City Wicomico Regional Airport,US,-75.51029968261719,38.34049987792969
4060,SCB,Scribner State Airport,US,-96.629898071289,41.610298156738
4061,SCH,Schenectady County Airport,US,-73.928901672363,42.852500915527
4062,SCK,Stockton Metropolitan Airport,US,-121.2379989624,37.894199371338
4063,SDF,Louisville Muhammad Ali International Airport,US,-85.736,38.1744
4064,SCF,Scottsdale Airport,US,-111.91100311279,33.622898101807
4065,SDM,Brown Field Municipal Airport,US,-116.98000335693,32.572299957275
4066,SDY,Sidney - Richland Regional Airport,US,-104.193001,47.706902
4067,SEA,Seattle Tacoma International Airport,US,-122.308998,47.449001
4068,SEE,Gillespie Field,US,-116.97200012207,32.826198577881
4069,SEF,Sebring Regional Airport,US,-81.3423996,27.45639992
4070,SEG,Penn Valley Airport,US,-76.863899230957,40.820598602295
4071,SEM,Craig Field,US,-86.987800598145,32.343898773193
4072,SEP,Stephenville Clark Regional Airport,US,-98.177696228027,32.215301513672
4073,SER,Freeman Municipal Airport,US,-85.907402038574,38.923599243164
4074,SDX,Sedona Airport,US,-111.78800201416,34.848598480225
4075,SFB,Orlando Sanford International Airport,US,-81.23750305175781,28.777599334716797
4076,SFF,Felts Field,US,-117.32299804688,47.682800292969
4077,SFM,Sanford Seacoast Regional Airport,US,-70.708000183105,43.393901824951
4078,SFO,San Francisco International Airport,US,-122.375,37.61899948120117
4079,SFZ,North Central State Airport,US,-71.49140167239999,41.9207992554
4080,KSG,Kisengam Airport,PG,146.71,-6.362
4081,SGF,Springfield Branson National Airport,US,-93.38860321,37.24570084
4082,SGH,Springfield-Beckley Municipal Airport,US,-83.840202331543,39.840301513672
4083,UST,Northeast Florida Regional Airport,US,-81.339798,29.9592
4084,SGR,Sugar Land Regional Airport,US,-95.65650177002,29.622299194336
4085,SGT,Stuttgart Municipal Airport / Carl Humphrey Field,US,-91.574997,34.599499
4086,SGU,St George Municipal Airport,US,-113.510306,37.036389
4087,SHD,Shenandoah Valley Regional Airport,US,-78.8964004517,38.2638015747
4088,SHN,Sanderson Field,US,-123.14800262451,47.233600616455
4089,SHR,Sheridan County Airport,US,-106.9800033569336,44.76919937133789
4090,SHV,Shreveport Regional Airport,US,-93.8256,32.446602
4091,SIK,Sikeston Memorial Municipal Airport,US,-89.561798095703,36.898899078369
4092,SIV,Sullivan County Airport,US,-87.448303222656,39.114700317383
4093,SJC,Norman Y. Mineta San Jose International Airport,US,-121.929001,37.362598
4094,SJN,St Johns Industrial Air Park,US,-109.3789978,34.51860046
4095,SJT,San Angelo Regional Mathis Field,US,-100.49600219726562,31.35770034790039
4096,SKA,Fairchild Air Force Base,US,-117.65599823,47.6151008606
4097,SKF,Lackland Air Force Base,US,-98.58110046,29.38419914
4098,TSM,Taos Regional Airport,US,-105.6719971,36.45819855
4099,SKY,Griffing Sandusky Airport,US,-82.6522979736,41.4333992004
4100,SLB,Storm Lake Municipal Airport,US,-95.2406997681,42.5973014832
4101,SLC,Salt Lake City International Airport,US,-111.97799682617188,40.78839874267578
4102,SLE,Salem Municipal Airport/McNary Field,US,-123.0029984,44.90950012
4103,SLG,Smith Field,US,-94.48999786,36.19189835
4104,SLK,Adirondack Regional Airport,US,-74.2061996459961,44.38529968261719
4105,SLN,Salina Municipal Airport,US,-97.6521987915039,38.79100036621094
4106,SLO,Salem Leckrone Airport,US,-88.964202880859,38.64289855957
4107,SLR,Sulphur Springs Municipal Airport,US,-95.621101379395,33.159801483154
4108,SMD,Smith Field,US,-85.15280151,41.14339828
4109,SME,Lake Cumberland Regional Airport,US,-84.6158981323,37.0533981323
4110,SMF,Sacramento International Airport,US,-121.59100341796876,38.69540023803711
4111,SMN,Lemhi County Airport,US,-113.880996704,45.1237983704
4112,SMO,Santa Monica Municipal Airport,US,-118.450996,34.0158
4113,SUM,Sumter Airport,US,-80.361297607422,33.994998931885
4114,SMX,Santa Maria Pub/Capt G Allan Hancock Field,US,-120.4570007,34.89889908
4115,SNA,John Wayne Airport-Orange County Airport,US,-117.8679962,33.67570114
4116,SNK,Winston Field,US,-100.94999694824,32.69340133667
4117,SNL,Shawnee Regional Airport,US,-96.942802429199,35.357898712158
4118,SNS,Salinas Municipal Airport,US,-121.60600280762,36.662799835205
4119,SNY,Sidney Municipal-Lloyd W Carr Field,US,-102.9850006,41.10129929
4120,SOP,Moore County Airport,US,-79.3911972,35.23740005
4121,SOW,Show Low Regional Airport,US,-110.005996704,34.265499115
4122,KSP,Kosipe Airport,PG,147.209195,-8.450716
4123,SPA,Spartanburg Downtown Memorial Airport,US,-81.956497192383,34.915699005127
4124,SPF,Black Hills Airport-Clyde Ice Field,US,-103.78299713135,44.48030090332
4125,SPG,Albert Whitted Airport,US,-82.626999,27.7651
4126,SPI,Abraham Lincoln Capital Airport,US,-89.67790222,39.84410095
4127,SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,US,-98.491898,33.9888
4128,SPW,Spencer Municipal Airport,US,-95.202796936035,43.165500640869
4129,SQI,Whiteside County Airport-Joseph H Bittorf Field,US,-89.67630005,41.74280167
4130,SQL,San Carlos Airport,US,-122.25,37.511901855469
4131,SRQ,Sarasota Bradenton International Airport,US,-82.55439758300781,27.39539909362793
4132,RUI,Sierra Blanca Regional Airport,US,-105.53500366211,33.462799072266
4133,SSC,Shaw Air Force Base,US,-80.47059631,33.97269821
4134,SSF,Stinson Municipal Airport,US,-98.471099853516,29.336999893188
4135,SSI,St Simons Island Airport,US,-81.391296,31.1518
4136,STC,St Cloud Regional Airport,US,-94.05989837646484,45.546600341796875
4137,STE,Stevens Point Municipal Airport,US,-89.530296325684,44.5452003479
4138,STJ,Rosecrans Memorial Airport,US,-94.909698486328,39.771900177002
4139,STK,Sterling Municipal Airport,US,-103.2649994,40.61529922
4140,STL,St Louis Lambert International Airport,US,-90.370003,38.748697
4141,STP,St Paul Downtown Holman Field,US,-93.05999755859376,44.93450164794922
4142,STS,Charles M. Schulz Sonoma County Airport,US,-122.8130035,38.50899887
4143,SUA,Witham Field,US,-80.22109985,27.18169975
4144,SUD,Stroud Municipal Airport,US,-96.655700683594,35.789600372314
4145,SUE,Door County Cherryland Airport,US,-87.42150116,44.84370041
4146,SUN,Friedman Memorial Airport,US,-114.2959976,43.50439835
4147,SUS,Spirit of St Louis Airport,US,-90.652000427246,38.662101745605
4148,SUU,Travis Air Force Base,US,-121.92700195312,38.262699127197
4149,SUW,Richard I Bong Airport,US,-92.094703674316,46.689701080322
4150,SUX,Sioux Gateway Airport/Brigadier General Bud Day Field,US,-96.384399,42.402599
4151,SVC,Grant County Airport,US,-108.154263,32.632293
4152,SVE,Susanville Municipal Airport,US,-120.57299804688,40.375701904297
4153,SVH,Statesville Regional Airport,US,-80.953903198242,35.765300750732
4154,SVN,Hunter Army Air Field,US,-81.14569855,32.00999832
4155,SWF,New York Stewart International Airport,US,-74.104797,41.504101
4156,SWO,Stillwater Regional Airport,US,-97.08570098877,36.161201477051
4157,SWW,Avenger Field,US,-100.46700286865,32.467399597168
4158,SYI,Bomar Field Shelbyville Municipal Airport,US,-86.44249725,35.56010056
4159,SYR,Syracuse Hancock International Airport,US,-76.1063003540039,43.11119842529297
4160,SYV,Sylvester Airport,US,-83.895698547363,31.558500289917
4161,SZL,Whiteman Air Force Base,US,-93.547897338867,38.73030090332
4162,TBC,Tuba City Airport,US,-111.383003235,36.0928001404
4163,TAD,Perry Stokes Airport,US,-104.341003418,37.2593994141
4164,KTB,Thorne Bay Seaplane Base,US,-132.537002563,55.6879997253
4165,TBN,Waynesville-St. Robert Regional Forney field,US,-92.14070129,37.74160004
4166,TBR,Statesboro Bulloch County Airport,US,-81.73690032959999,32.4827003479
4167,KTC,Katiola Airport,CI,-5.0657,8.1329
4168,TCC,Tucumcari Municipal Airport,US,-103.602996826,35.182800293
4169,TCL,Tuscaloosa Regional Airport,US,-87.611396789551,33.220600128174
4170,TCM,McChord Air Force Base,US,-122.475997925,47.1376991272
4171,TCS,Truth Or Consequences Municipal Airport,US,-107.272003174,33.2369003296
4172,TDO,Ed Carlson Memorial Field South Lewis County Airport,US,-122.805999756,46.4771995544
4173,TDW,Tradewind Airport,US,-101.825996399,35.1698989868
4174,TDZ,Toledo Executive Airport,US,-83.4822998,41.56489944
4175,TEB,Teterboro Airport,US,-74.060798645,40.85010147089999
4176,TEX,Telluride Regional Airport,US,-107.9079971,37.9538002
4177,THA,Tullahoma Regional Arpt/Wm Northern Field,US,-86.24639893,35.38010025
4178,THM,Thompson Falls Airport,US,-115.28099822998,47.573501586914
4179,THV,York Airport,US,-76.8730011,39.91699982
4180,TIK,Tinker Air Force Base,US,-97.386596679688,35.414699554443
4181,TIW,Tacoma Narrows Airport,US,-122.5780029,47.26789856
4182,TIX,Space Coast Regional Airport,US,-80.799201965332,28.514799118042
4183,KTK,Kunua Airport,PG,154.74,-5.7828
4184,KNT,Kennett Memorial Airport,US,-90.0365982056,36.2258987427
4185,TLH,Tallahassee Regional Airport,US,-84.35030364990234,30.396499633789062
4186,TLR,Mefford Field,US,-119.3259964,36.15629959
4187,TMA,Henry Tift Myers Airport,US,-83.4885025024,31.4290008545
4188,TMB,Miami Executive Airport,US,-80.4328,25.6479
4189,OTK,Tillamook Airport,US,-123.814002991,45.4182014465
4190,TNP,Twentynine Palms Airport,US,-115.9459991,34.13159943
4191,TNT,Dade Collier Training and Transition Airport,US,-80.897003173828,25.861799240112
4192,TNU,Newton Municipal Airport,US,-93.021697998047,41.67440032959
4193,XSD,Tonopah Test Range Airport,US,-116.78099823,37.7988014221
4194,TOA,Zamperini Field,US,-118.33999633789,33.803398132324
4195,TOC,Toccoa Airport - R.G. Letourneau Field,US,-83.29579926,34.59379959
4196,TOI,Troy Municipal Airport at N Kenneth Campbell Field,US,-86.012101,31.860399
4197,TOL,Toledo Express Airport,US,-83.80780029,41.58679962
4198,TOP,Philip Billard Municipal Airport,US,-95.622497558594,39.068698883057
4199,TOR,Torrington Municipal Airport,US,-104.1529999,42.0644989
4200,TPA,Tampa International Airport,US,-82.533203125,27.975500106811523
4201,TPF,Peter O Knight Airport,US,-82.44930267334,27.915599822998
4202,TPH,Tonopah Airport,US,-117.086998,38.06019974
4203,TPL,Draughon Miller Central Texas Regional Airport,US,-97.40779876708984,31.15250015258789
4204,TRI,Tri-Cities Regional TN/VA Airport,US,-82.407401,36.475201
4205,TKF,Truckee Tahoe Airport,US,-120.13999939,39.3199996948
4206,TRL,Terrell Municipal Airport,US,-96.267402648926,32.709201812744
4207,TRM,Jacqueline Cochran Regional Airport,US,-116.16000366211,33.62670135498
4208,TSP,Tehachapi Municipal Airport,US,-118.43900299072,35.134998321533
4209,TTD,Portland Troutdale Airport,US,-122.40100097656,45.54940032959
4210,TTN,Trenton Mercer Airport,US,-74.8134994506836,40.27669906616211
4211,TUL,Tulsa International Airport,US,-95.88809967041016,36.19839859008789
4212,TUP,Tupelo Regional Airport,US,-88.7698974609375,34.26810073852539
4213,TUS,Tucson International Airport / Morris Air National Guard Base,US,-110.938053,32.115004
4214,TVC,Cherry Capital Airport,US,-85.58219909667969,44.74140167236328
4215,TVF,Thief River Falls Regional Airport,US,-96.18499756,48.06570053
4216,TVI,Thomasville Regional Airport,US,-83.881301879883,30.901599884033
