ICAOaddr,Lat,Lon,Heading,Alt,Speed,Squawk,Tailnr,Type,Reg,unk0,Src,Dest,Flightnr,unk1,unk2,Callsign,unk3,Airline
"471F36",51.18,7.60,114,33425,427,"1000","F-EDVM1","A21N","HA-LVI",1618580036,"EIN","OTP","W63072",0,768,"WZZ9MX",0,"WZZ"
"392AF5",49.14,4.15,70,33050,419,"0653","F-LFQQ1","A320","F-GKXV",1618580036,"CDG","OSR","AF364V",0,1600,"AFR364V",0,"AFR"
"781A4B",52.85,13.47,84,33000,451,"0173","F-EDCG1","B77L","B-220F",1618580035,"AMS","SZX","CK208",0,0,"CKK208",0,"CKK"
"06A30B",50.65,-11.43,280,33000,445,"3502","F-EINN4","B77L","A7-BFX",1618580036,"LUX","ATL","QR8141",0,0,"QTR8141",0,"QTR"
"04008D",52.02,11.76,77,33000,459,"7101","F-EDHK2","B77L","ET-ARK",1618580036,"LGG","PVG","ET3778",0,0,"ETH3778",0,"ETH"
"424323",49.85,11.36,101,33000,464,"7647","F-EDJA1","B744","VP-BCI",1618580037,"HHN","","U39306",0,0,"SAY9306",0,"SAY"
"51011A",51.58,12.88,66,33000,434,"7651","F-EDVM1","E195","EW-532PO",1618580033,"FRA","MSQ","B2894",0,-64,"BRU894",0,"BRU"
"8964C1",50.43,6.60,103,32225,436,"7152","F-EDDV5","B789","A6-BLQ",1618580036,"BRU","AUH","EY58",0,1472,"ETD98V",0,"ETD"
"4843F2",53.81,-7.26,275,32000,470,"2120","F-EINN2","B772","PH-BQO",1618580032,"AMS","MEX","KL685",0,-64,"KLM685",0,"KLM"
"3C4B24",51.35,-11.40,262,31975,456,"2550","F-EINN4","B748","D-ABYD",1618580036,"FRA","MEX","LH498",0,0,"DLH498",0,"DLH"
"040156",51.64,8.71,62,31000,444,"7111","F-EDDV5","B77L","ET-AVN",1618580030,"LGG","CAN","ET3606",0,0,"ETH3606",0,"ETH"
"394A65",52.30,8.03,208,30975,416,"1135","F-EDWI3","A3ST","F-GSTF",1618580037,"XFW","TLS","",0,0,"BGA131F",0,"BGA"
"4CA293",51.92,-6.18,277,30875,428,"5665","F-EGGW2","A320","EI-DEM",1618580037,"LHR","ORK","EI715",0,-2496,"EIN715",0,"EIN"
"300782",48.72,8.83,356,30575,442,"1000","F-LFSN1","E195","I-ADJW",1618580035,"MXP","FRA","LH253",0,-1088,"DLH7KC",0,"DLA"
